,"11:00","12:55","MJ","78698"
,"09:00","10:55","L","42466"
,"17:00","18:55","L","42462"
,"09:00","10:55","M","104056"
,"09:00","10:55","J","123244"
,"13:00","14:55","LI","42604"
,"13:00","13:55","V","42604"
,"15:00","16:55","MJ","42606"
,"15:00","15:55","V","42606"
,"11:00","12:55","LI","42619"
,"11:00","11:55","V","42619"
,"17:00","18:55","I","94655"
,"13:00","14:55","MJ","42256"
,"13:00","15:55","V","38444"
,"09:00","10:55","MJ","42295"
,"10:00","10:55","V","42295"
,"17:00","18:55","LI","42296"
,"17:00","17:55","V","42296"
,"07:00","08:55","L","35659"
,"07:00","08:55","V","127431"
,"11:00","12:55","I","63956"
,"13:00","14:55","LI","42386"
,"11:00","12:55","L","87316"
,"19:00","20:55","L","42410"
,"07:00","08:55","M","104038"
,"15:00","16:55","LI","74719"
,"15:00","16:55","MJ","117574"
,"07:00","08:55","I","42463"
,"17:00","18:55","M","42465"
,"09:00","10:55","LI","42605"
,"09:00","09:55","V","42605"
,"11:00","12:55","MJ","63509"
,"11:00","11:55","V","63509"
,"16:00","16:55","V","42618"
,"19:00","20:55","MJ","42618"
,"07:00","08:55","V","117646"
,"13:00","14:55","M","117648"
,"11:00","12:55","I","103798"
,"14:00","16:55","I","49938"
,"15:00","16:55","L","49938"
,"17:00","18:55","I","42277"
,"09:00","09:55","V","86145"
,"13:00","13:55","I","86292"
,"11:00","12:55","MJ","58295"
,"15:00","16:55","J","58546"
,"09:00","10:55","I","124842"
,"09:00","10:55","M","58209"
,"12:00","12:55","L","58213"
,"09:00","10:55","L","124838"
,"19:00","20:55","MJ","49943"
,"20:00","20:55","V","49943"
,"07:00","08:55","MJ","42407"
,"07:00","08:55","LI","14449"
,"13:00","14:55","J","42469"
,"11:00","12:55","V","88732"
,"17:00","18:55","V","117680"
,"15:00","15:55","V","58315"
,"16:00","16:55","V","67484"
,"19:00","19:55","V","79447"
,"09:00","10:55","J","103805"
,"13:00","14:55","L","124867"
,"13:00","14:55","V","103818"
,"19:00","20:55","I","89442"
,"17:00","18:55","L","117632"
,"15:00","16:55","M","42826"
,"11:00","12:55","L","117633"
,"15:00","16:55","J","117635"
,"19:00","20:55","V","117647"
,"17:00","18:55","L","42277"
,"17:00","17:55","V","42277"
,"13:00","14:55","LI","58518"
,"17:00","18:55","M","91564"
,"09:00","10:55","M","42284"
,"15:00","15:55","V","90105"
,"15:00","16:55","M","124846"
,"09:00","10:55","I","42305"
,"07:00","11:55","S","42307"
,"13:00","14:55","M","124847"
,"15:00","16:55","L","42334"
,"13:00","14:55","J","58648"
,"11:00","12:55","M","76916"
,"11:00","12:55","J","123243"
,"07:00","08:55","I","127431"
,"07:00","08:55","MJ","63963"
,"12:00","13:55","V","58213"
,"09:00","10:55","J","76928"
,"11:00","11:55","V","76928"
,"15:00","16:55","I","58315"
,"11:00","12:55","I","42587"
,"07:00","07:55","V","127480"
,"19:00","20:55","M","79448"
,"08:00","08:55","V","42600"
,"18:00","18:55","V","42612"
,"16:00","16:55","V","42620"
,"09:00","10:55","L","117629"
,"19:00","20:55","I","117631"
,"17:00","18:55","I","117632"
,"09:00","10:55","V","83851"
,"13:00","14:55","MJ","42257"
,"09:00","10:55","LI","62958"
,"09:00","09:55","V","62958"
,"13:00","13:55","V","42272"
,"15:00","16:55","LI","117571"
,"10:00","10:55","V","42298"
,"17:00","19:55","M","42308"
,"17:00","18:55","J","42308"
,"15:00","15:55","V","42309"
,"08:00","12:55","S","42306"
,"11:00","12:55","MJ","125945"
,"09:00","10:55","MJ","44731"
,"11:00","12:55","L","125988"
,"13:00","14:55","I","56869"
,"07:00","08:55","M","62960"
